Piece,Type,Start Measure,End Measure,Target Marking,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,Target,Hit list
Darkness,Technical,39,42,150,2/22,2/22,2/22,2/22,2/22,2/22,2/22,2/22,2/22,2/22,2/22,
Darkness,Technical,44,46,150,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,
Darkness,Technical,47,48,150,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,2/23,
Darkness,Technical,49,54,150,2/23,2/23,2/23,2/23,3/14,3/14,3/14,3/14,3/14,3/14,3/14,
Darkness,Technical,73,74,150,1/10,1/10,1/10,1/10,1/10,1/10,1/10,1/10,1/10,3/14,3/14,
Darkness,Technical,85,86,150,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2,
Darkness,Technical,88,89,150,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,
Darkness,Technical,92,98,150,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,
Darkness,Technical,100,101,150,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,
Darkness,Technical,102,105,150,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,
Darkness,Technical,107,108,150,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,2/10,
Darkness,Technical,122,131,200,3/1,3/1,3/1,3/1,3/1,3/1,3/1,3/1,3/1,3/1,3/1,
Darkness,Technical,134,139,200,3/1,3/1,3/1,3/1,3/1,3/1,3/3,3/3,3/3,3/3,3/14,
Darkness,Technical,144,148,200,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,
Darkness,Technical,156,160,200,3/14,3/14,3/14,3/14,3/14,3/14,3/14,3/14,3/14,3/14,3/14,
Darkness,Technical,164,168,200,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,
Darkness,Technical,171,173,200,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,
Darkness,Technical,182,200,200,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,3/15,
Darkness,Technical,200,216,200,,,,,,,,,,,,
Darkness,Technical,216,227,150,,,,,,,,,,,,
Darkness,Technical,279,286,76,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,
Darkness,Technical,286,297,76,3/22,3/22,3/22,3/22,3/22,3/22,3/22,3/22,3/22,,,
Darkness,Technical,325,326,160,2/15,2/15,2/15,2/15,2/15,2/15,2/15,2/15,2/15,2/15,2/15,
