Piece,Type,Start Measure,End Measure,Target Marking,50%,60%,70%,80%,90%,Target,Hit list
Darkness,Technical,39,42,150,3/26,3/26,3/26,3/26,3/26,3/26,
Darkness,Technical,44,46,150,3/26,3/26,3/26,3/26,3/26,3/26,
Darkness,Technical,47,48,150,3/26,3/26,3/26,3/26,3/26,3/26,
Darkness,Technical,49,54,150,3/26,3/26,3/26,4/2,4/2,4/2,
Darkness,Technical,73,74,150,4/2,4/2,4/2,4/2,4/2,4/2,
Darkness,Technical,85,86,150,4/2,4/2,4/2,4/2,4/2,4/2,
Darkness,Technical,88,89,150,4/2,4/2,4/2,4/2,4/2,4/2,
Darkness,Technical,92,98,150,4/2,4/2,4/2,4/2,4/2,4/2,
Darkness,Technical,100,101,150,4/7,4/7,4/7,4/7,4/7,4/7,
Darkness,Technical,102,105,150,4/7,4/7,4/7,4/7,4/7,4/7,
Darkness,Technical,107,108,150,4/7,4/7,4/7,4/7,4/7,4/7,
Darkness,Technical,122,131,200,4/7,4/7,4/7,4/7,4/7,4/7,
Darkness,Technical,134,139,200,4/7,4/7,4/7,4/7,4/7,4/7,
Darkness,Technical,144,148,200,4/8,4/8,4/8,4/8,4/8,4/8,
Darkness,Technical,156,160,200,4/8,4/8,4/8,4/8,4/8,4/8,
Darkness,Technical,164,168,200,4/8,4/8,4/8,4/8,4/8,4/8,
Darkness,Technical,171,173,200,4/8,4/8,4/8,4/8,4/8,4/8,
Darkness,Technical,182,200,200,,,,,,,
Darkness,Technical,200,216,200,,,,,,,
Darkness,Technical,216,227,150,,,,,,,
Darkness,Technical,279,286,76,,,,,,,
Darkness,Technical,286,297,76,,,,,,,
Darkness,Technical,325,326,160,,,,,,,
Darkness,Technical,329,333,160,,,,,,,
Darkness,Technical,331,333,170,,,,,,,
Darkness,Technical,336,337,170,,,,,,,
Darkness,Technical,338,340,170,,,,,,,
Darkness,Technical,341,346,170,,,,,,,
Darkness,Technical,347,349,170,,,,,,,
Darkness,Technical,353,357,170,,,,,,,
Darkness,Technical,458,463,166,4/24,4/24,4/24,4/24,4/24,4/24,y
Darkness,Technical,474,476,166,4/24,4/24,4/24,4/24,4/24,4/24,
Darkness,Technical,478,480,166,4/24,4/24,4/24,4/24,4/24,4/24,
Darkness,Technical,481,483,166,4/24,4/24,4/24,4/24,4/24,4/24,
Darkness,Technical,485,488,166,4/24,4/24,4/24,4/24,4/24,4/24,y
Darkness,Technical,495,501,166,4/24,4/24,4/24,4/24,4/24,4/24,
Darkness,Technical,501,507,166,4/24,4/24,4/24,4/24,4/24,4/24,
Darkness,Technical,508,509,166,,,,,,,
Darkness,Technical,509,517,166,,,,,,,
Darkness,Technical,524,530,166,,,,,,,
Darkness,Technical,530,535,166,,,,,,,
Angels,Technical,33,36,58,,,,,,,
Angels,Technical,70,74,144,4/22,4/22,4/22,4/22,4/22,4/22,
Angels,Technical,75,80,144,4/22,4/22,4/22,4/22,4/22,4/22,
Angels,Technical,93,95,144,4/22,4/22,4/22,4/22,4/22,4/22,
Angels,Technical,99,101,144,4/22,4/22,4/22,4/22,4/22,4/22,
Angels,Technical,102,107,144,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,108,109,144,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,151,153,58,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,154,155,54,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,209,212,144,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,230,239,144,4/26,4/26,4/26,4/26,4/26,4/26,
Angels,Technical,242,248,144,4/22,4/22,4/22,4/22,4/22,4/22,
Angels,Technical,257,262,144,4/14,4/14,4/14,4/14,4/14,4/14,
Angels,Technical,269,271,144,4/14,4/14,4/14,4/14,4/14,4/14,
Angels,Technical,273,274,144,4/14,4/14,4/14,4/14,4/14,4/14,
Angels,Technical,291,293,144,4/14,4/14,4/14,4/14,4/14,4/14,
Angels,Technical,298,298,144,4/14,4/14,4/14,4/14,4/14,4/14,
Angels,Technical,301,301,144,4/8,4/8,4/8,4/8,4/8,4/8,
Angels,Technical,305,305,144,4/8,4/8,4/8,4/8,4/8,4/8,
Angels,Technical,309,315,116,4/1,4/1,4/1,4/1,4/1,4/1,
Angels,Technical,316,317,116,4/1,4/1,4/1,4/1,4/1,4/1,
Angels,Technical,319,322,116,4/1,4/1,4/1,4/1,4/1,4/1,
Angels,Technical,323,323,116,4/1,4/1,4/1,4/1,4/1,4/1,
Angels,Technical,324,326,116,3/26,3/26,3/26,3/26,3/26,3/26,
Angels,Technical,379,379,144,3/26,3/26,3/26,3/26,3/26,3/26,
Angels,Technical,384,391,144,3/24,3/24,3/24,3/26,3/26,3/26,
Angels,Technical,406,410,144,3/24,3/24,3/24,3/24,3/24,3/26,
Angels,Technical,427,430,144,3/24,3/24,3/24,3/24,3/24,3/24,
Angels,Technical,438,442,144,3/24,3/24,3/24,3/24,3/24,3/24,
